job_title,salary_range,company_profile,requirements,fraudulent
Mobile App Developer,"$70,000 - $90,000",Leading IT solutions company with 10+ years of experience.,"Experience with Java, Spring Boot, and REST APIs.",1
Cloud Engineer,"$60,000 - $80,000",Mid-sized e-commerce company serving international clients.,Excellent communication and project management skills.,1
Cloud Engineer,"$60,000 - $80,000",Well-established healthcare data analytics organization.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Data Entry Clerk,Earn $300 daily from home,Reputed organization hiring urgently for remote positions.,No experience required. Must have smartphone or laptop.,0
HR Assistant (Remote),Negotiable,Fast-growing company offering remote opportunities worldwide.,No experience required. Must have smartphone or laptop.,0
Software Engineer,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,Excellent communication and project management skills.,1
Cloud Engineer,"$120,000 - $150,000",Mid-sized e-commerce company serving international clients.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Network Administrator,"$40,000 - $60,000",Recognized financial services provider headquartered in New York.,"Experience with Java, Spring Boot, and REST APIs.",1
Data Analyst,"$40,000 - $60,000",Recognized financial services provider headquartered in New York.,"Experience with Java, Spring Boot, and REST APIs.",1
Data Entry Clerk,Negotiable,Reputed organization hiring urgently for remote positions.,"No qualification needed, we train you for free!",0
Online Survey Filler,$5000 bonus after first month,Reputed organization hiring urgently for remote positions.,"Quick money-making job from home, join today.",0
DevOps Specialist,"$60,000 - $80,000",Recognized financial services provider headquartered in New York.,"Experience with Java, Spring Boot, and REST APIs.",1
Mobile App Developer,"$60,000 - $80,000",A global software firm focusing on enterprise automation.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Virtual Assistant - No Experience,$5000 bonus after first month,"Earn money easily by working from home, no registration fees.","Quick money-making job from home, join today.",0
Web Developer,"$40,000 - $60,000",Leading IT solutions company with 10+ years of experience.,"Experience with Java, Spring Boot, and REST APIs.",1
Software Engineer,"$90,000 - $110,000",Recognized financial services provider headquartered in New York.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Investment Opportunity Manager,$100 per task,Fast-growing company offering remote opportunities worldwide.,"No qualification needed, we train you for free!",0
Network Administrator,"$60,000 - $80,000",Recognized financial services provider headquartered in New York.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
System Architect,"$90,000 - $110,000",Leading IT solutions company with 10+ years of experience.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Data Analyst,"$120,000 - $150,000",A global software firm focusing on enterprise automation.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Virtual Assistant - No Experience,$100 per task,Simple online task-based business for extra income.,"Quick money-making job from home, join today.",0
UX Designer,"$120,000 - $150,000",Mid-sized e-commerce company serving international clients.,"Experience with Java, Spring Boot, and REST APIs.",1
Network Administrator,"$40,000 - $60,000",Mid-sized e-commerce company serving international clients.,"Experience with Java, Spring Boot, and REST APIs.",1
UX Designer,"$120,000 - $150,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Software Engineer,"$90,000 - $110,000",Leading IT solutions company with 10+ years of experience.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Web Developer,"$90,000 - $110,000",Leading IT solutions company with 10+ years of experience.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Online Survey Filler,Earn $300 daily from home,Reputed organization hiring urgently for remote positions.,"Quick money-making job from home, join today.",0
Network Administrator,"$40,000 - $60,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
DevOps Specialist,"$60,000 - $80,000",Mid-sized e-commerce company serving international clients.,"Experience with Java, Spring Boot, and REST APIs.",1
Work From Home Associate,Negotiable,Fast-growing company offering remote opportunities worldwide.,No experience required. Must have smartphone or laptop.,0
Software Engineer,"$70,000 - $90,000",Well-established healthcare data analytics organization.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Data Analyst,"$40,000 - $60,000",Leading IT solutions company with 10+ years of experience.,Excellent communication and project management skills.,1
System Architect,"$50,000 - $70,000",Well-established healthcare data analytics organization.,Excellent communication and project management skills.,1
System Architect,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Web Developer,"$60,000 - $80,000",A global software firm focusing on enterprise automation.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Online Survey Filler,$2000 per month,Simple online task-based business for extra income.,Work at your own time and earn unlimited income.,0
Crypto Analyst,Earn $300 daily from home,"Earn money easily by working from home, no registration fees.",Work at your own time and earn unlimited income.,0
Work From Home Associate,Negotiable,Fast-growing company offering remote opportunities worldwide.,"No qualification needed, we train you for free!",0
Mobile App Developer,"$40,000 - $60,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
DevOps Specialist,"$90,000 - $110,000",Leading IT solutions company with 10+ years of experience.,Excellent communication and project management skills.,1
HR Assistant (Remote),$5000 bonus after first month,Reputed organization hiring urgently for remote positions.,Work at your own time and earn unlimited income.,0
Web Developer,"$40,000 - $60,000",Recognized financial services provider headquartered in New York.,Excellent communication and project management skills.,1
UX Designer,"$90,000 - $110,000",A global software firm focusing on enterprise automation.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
